t,x,y,y_lat,roll,pitch,yaw,alpha,beta,airspeed,stall_speed
0.01,0.8480448995855983,0.05892888589224571,0.0,0.0,4.0,0.0,0.0,0.0,85.0,70.14257172847928
0.02,1.6962058891286027,0.11749524141718143,-1.1765112429608416e-21,0.0,4.001374310857397,0.0,0.0263987110204188,0.0,85.00898571949017,70.14277013914446
0.03,2.544483587945656,0.17570073030340044,-2.371296507890398e-21,-5.548186094891349e-21,4.004115000807401,-7.94820555797175e-20,0.05405478662209915,0.0,85.0180617387883,70.1429673300051
0.04,3.3928786016667254,0.23354709290015718,-3.585833350738616e-21,-1.1411880771361892e-20,4.008214108996782,-1.58346758257329e-19,0.08295496569688891,7.744792375899046e-20,85.02722700681463,70.1431633066478
0.05,4.24139152232078,0.29103614549249546,-4.8215894799824554e-21,-1.7578804563977488e-20,4.013663646260218,-2.3658719787634114e-19,0.11308600938272027,1.5417154982942087e-19,85.03648046411895,70.14335807491737
0.060000000000000005,5.090022928417829,0.3481697796165065,-6.08002253645163e-21,-2.403691761834049e-20,4.020455595891878,-3.141966412137797e-19,0.14443470182775048,2.301638860105922e-19,85.04582104282592,70.14355164091447
0.07,5.938773385027364,0.4049499613747368,-7.362579878926966e-21,-3.077441447463243e-20,4.02858191441219,-3.9116853082556158e-19,0.1769878509467213,3.0541812380951427e-19,85.05524766658858,70.14374401099327
0.08,6.787643443853219,0.4613787307517661,-9.847978762357214e-21,-3.7779718968082524e-20,4.038034532329837,-4.674964838933496e-19,0.21073228916955164,3.7992763953502106e-19,85.06475925054937,70.14393519175927
0.09,7.636633643304902,0.5174582009299752,-1.3556063940775522e-20,-5.0646259711769356e-20,4.048805354898975,-6.226607100351184e-19,0.24565487418218196,4.536859952874536e-19,85.07435470130918,70.14412519006692
0.09999999999999999,8.48574450856542,0.5731905576055242,-1.6153073604568908e-20,-6.969496088165709e-20,4.060886262871697,-8.5603993986063695e-19,0.2817424896596859,6.041325001269583e-19,85.08403291690375,70.14431401301731
0.10999999999999999,9.334976551655647,0.6285780583045609,-1.880262628663266e-20,-8.395991746787676e-20,4.07426911324575,-1.0080285906518696e-18,0.3189820459916675,8.305336518800178e-19,85.09379278678774,70.1445016679559
0.11999999999999998,10.184330271495256,0.6836230316996786,-2.1507569865018643e-20,-9.872852002968657e-20,4.088945740007503,-1.1587123705370003e-18,0.35736048099996165,9.772596156295612e-19,85.10363319182606,70.14468816247019
0.12999999999999998,11.033806153960263,0.7383278769266439,-2.3092791757299684e-20,-1.1397878233160407e-19,4.1049079548702005,-1.3080793685873548e-18,0.39686476064865706,1.122463156048677e-18,85.11355300429246,70.14487350438746
0.13999999999999999,11.88340467193723,0.7926950629014137,-2.472073654123617e-20,-1.2398681834889498e-19,4.122147548007496,-1.3766243291545058e-18,0.4374818797464595,1.266132311378166e-18,85.12355108787523,70.1450577017725
0.15,12.733126285374142,0.8467271276374613,-2.639269105864162e-20,-1.3411748545787896e-19,4.140656288782291,-1.444445391591605e-18,0.4791988626414159,1.330812994925433e-18,85.13362629768999,70.14524076292514
0.16,13.582971441328036,0.9004266775634312,-2.810992890592545e-20,-1.443620617365206e-19,4.160425926470863,-1.5115385690068382e-18,0.5220027639080185,1.3946658985569334e-18,85.1437774802992,70.14542269637822
0.17,14.432940574009386,0.9537963868411413,-2.987371029879741e-20,-1.5471199697343224e-19,4.181448190982351,-1.5779000324573082e-18,0.565880669026709,1.457687280525535e-18,85.1540034737387,70.14560351089507
0.18000000000000002,15.283034104823317,1.0068389966839533,-3.168528194073482e-20,-1.6515890895744694e-19,4.203714793573538,-1.6435261097367615e-18,0.6108196950558034,1.5198735869563166e-18,85.16430310755054,70.14578321546732
0.19000000000000003,16.133252442407674,1.0595573146755288,-3.354587689511042e-20,-1.7569457986332714e-19,4.227217427559008,-1.7084132841575102e-18,0.6568069912958596,1.5812214515992708e-18,85.17467520282261,70.1459618193126
0.20000000000000004,16.983595982668,1.1119542140889929,-3.545671446088171e-20,-1.8631095273204555e-19,4.251947769016653,-1.772558193326278e-18,0.7038297399465069,1.6417276955099882e-18,85.18511857223467,70.14613933187223
0.21000000000000005,17.834065108809458,1.164032633206521,-3.7419000051746007e-20,-1.9700012804407798e-19,4.277897477488549,-1.8359576279137677e-18,0.7518751567557608,1.7013893266602256e-18,85.19563202011045,70.14631576280895
0.22000000000000006,18.68466019136577,1.2157955746393718,-3.943392507866851e-20,-2.077543603841523e-19,4.305058196677226,-1.898608530417751e-18,0.8009304916618432,1.760203539480181e-18,85.20621434247613,70.14649112200458
0.23000000000000007,19.535381588225167,1.2672461046483823,-4.150266683569362e-20,-2.185660551958989e-19,4.333421555137334,-1.960507993919515e-18,0.8509830294275327,1.818167714334293e-18,85.21686432712471,70.14666541955779
0.24000000000000007,20.386229644653472,1.3183873524649456,-4.362638838895288e-20,-2.294277656248532e-19,4.362979166962716,-2.0216532608335384e-18,0.9020200902670652,1.8752794169323022e-18,85.22758075368645,70.14683866578183
0.25000000000000006,21.237204693314283,1.3692225096124906,-4.580623846878569e-20,-2.40332189448265e-19,4.393722632468919,-2.0820417216502918e-18,0.9540290304656087,1.9315363976773034e-18,85.23836239370499,70.14701087120213
0.26000000000000006,22.08830705428638,1.4197548292284805,-4.80433513648921e-20,-2.5127216609017127e-19,4.42564353887112,-2.1416709136720594e-18,1.0069972429913343,1.9869365909524546e-18,85.24920801071913,70.14718204655416
0.2700000000000001,22.93953703507834,1.4699876253869524,-5.033884682443942e-20,-2.622406737201981e-19,4.458733460957528,-2.2005385197417565e-18,1.0609121581001089,2.0414781143479884e-18,85.2601163603503,70.14735220278106
0.2800000000000001,23.790894930640484,1.5199242724216124,-5.269382995304755e-20,-2.7323082643455887e-19,4.492983961758241,-2.258642366964688e-18,1.1157612439328286,2.0951592678301112e-18,85.27108619039541,70.14752135103139
0.2900000000000001,24.642381023374103,1.5695682042495096,-5.510939111858043e-20,-2.8423587151772117e-19,4.52838659320957,-2.3159804254232356e-18,1.171532007105423,2.1479785328533733e-18,85.28211624092495,70.14768950265682
0.3000000000000001,25.493995583138144,1.618922913695304,-5.758660585767388e-20,-2.952491867832233e-19,4.564932896813864,-2.372550806884498e-18,1.2282119932915487,2.199934571418021e-18,85.29320524438636,70.1478566692099
0.3100000000000001,26.34573886725328,1.6679919518161492,-6.012653478493243e-20,-3.0626427799212677e-19,4.602614404294847,-2.428351763500912e-18,1.2857887877979972,2.251026225073835e-18,85.30435192571244,70.14802286244176
0.3200000000000001,27.197611120503527,1.716778927227208,-6.273022350473077e-20,-3.172747763475919e-19,4.641422638248456,-2.48338168650389e-18,1.3442500161328454,2.301252513871919e-18,85.31555500243479,70.14818809429988
0.3300000000000001,28.04961257513536,1.7652875054278194,-6.539870252555767e-20,-3.282744360640808e-19,4.681349112789207,-2.5376391048905653e-18,1.4035833445663661,2.350612635265861e-18,85.32681318480205,70.1483523769257
0.34000000000000014,28.901743450854475,1.813521408128336,-6.695229585035662e-20,-3.392571320096887e-19,4.722385334192121,-2.5911226841037277e-18,1.4637764806847307,2.3991059629636815e-18,85.33812517590272,70.14851572265252
0.35000000000000014,29.75400395482018,1.8614844125776502,-6.737355449016848e-20,-3.43637449319031e-19,4.7645228015301955,-2.564268261168067e-18,1.5248171739365235,2.4467320457319303e-18,85.34948967179287,70.14867814400309
0.36000000000000015,30.60639428163751,1.9091803508914285,-6.782441791184893e-20,-3.4103689265474463e-19,4.807753007307442,-2.4576821683044887e-18,1.586693216172095,2.4160806955055337e-18,85.36090536162807,70.14883965368742
0.37000000000000016,31.458914613347094,1.9566131093810712,-6.830279355119299e-20,-3.3778756143515844e-19,4.852067438087502,-2.351550572486186e-18,1.6493924421757769,2.3078964590665327e-18,85.37237092779984,70.14900026460052
